anio,datos faltantes,porcentaje
2010,3284686,8.153130679502436
2011,2848643,6.21258934769647
2012,4773934,9.231286922999367
2013,6557642,12.036552295067061
2014,4659851,8.33664782333184
2015,4136227,6.988515066654879
2016,3435312,5.738475181569912
2017,4405752,7.202900771088918
2018,104479,0.1724299895854458
2019,191362,0.3142842539978852
