,cat_periodo,MRUN,GEN_ALU,FEC_NAC_ALU,anio_ing_carr_ori,sem_ing_carr_ori,anio_ing_carr_act,sem_ing_carr_act,cod_inst,cod_sede,cod_carrera,version,dur_estudio_carr,dur_proceso_tit,dur_total_carr,valor_matricula,valor_arancel,codigo_demre,acre_inst_anio
cat_periodo,1.0,0.005512610898173658,0.011630934681378519,0.3934366987459237,-0.09720857303226361,-0.04359367409458462,0.07031337430127191,-0.039142629134279204,0.0025608790033496494,0.06004774287689178,0.17229247552685514,0.16816230243492628,-0.021861520009546737,-0.08120041198569959,-0.052592853938645295,0.17828505906633513,0.2551327664406419,0.012750596383309483,0.07522339910927275
MRUN,0.005512610898173658,1.0,-0.0012339219530733286,0.0004516407780800297,-0.0014187237104381662,0.0007388152359134869,0.0015548421738897469,0.0018680194546221859,0.0004936199175563231,0.0010111564680940338,0.003275962947583063,0.001865102010237902,-0.0035980247269442314,-0.0009663633788756045,-0.003684237586530399,-0.0006497756482397314,0.00011953383071512556,-0.005485725048016731,0.00012460521476475363
GEN_ALU,0.011630934681378519,-0.0012339219530733286,1.0,0.012727751535777324,-0.04297473555083656,-0.00620580477259458,0.005200854988858078,-0.016790552454183524,-0.02782536367318486,-0.036831592534423974,-0.019416405953381406,-0.0024469206752596568,-0.008600811578912217,0.04369855894739084,-0.008327331973720762,-0.058986970455395714,-0.03536986180870541,0.025440757629100457,-0.12471171399475858
FEC_NAC_ALU,0.3934366987459237,0.0004516407780800297,0.012727751535777324,1.0,-0.09106040092881373,-0.15675421359195263,-0.004378338066112264,-0.13769114810596594,-0.008562832008180568,0.03531144215772072,-0.0771718581720127,-0.030903201255192445,0.24296875702596363,-0.0655009819302946,0.22428238458974736,0.21157051057744894,0.2576412461810273,0.2648982533965629,0.13857000538419872
anio_ing_carr_ori,-0.09720857303226361,-0.0014187237104381662,-0.04297473555083656,-0.09106040092881373,1.0,0.07316832052898564,0.022122578890609625,0.12925649609652823,-0.01260242305406536,0.08335757618493804,-0.018517096401726107,-0.003903435279672872,0.011248657921071827,-0.024470774601105597,0.012185948491620897,0.024451688814915194,-0.0780986121908403,0.04802701811361133,-0.01007383110992731
sem_ing_carr_ori,-0.04359367409458462,0.0007388152359134869,-0.00620580477259458,-0.15675421359195263,0.07316832052898564,1.0,0.008512282877674667,0.7722698167973011,-0.005975651859626145,-0.021784170366038108,0.034782234703465045,0.028527309255549166,-0.07985970491908843,0.002825064324733683,-0.0748568211468497,-0.04454897248491145,-0.030395350861533835,-0.06531112458021522,0.023992161481401257
anio_ing_carr_act,0.07031337430127191,0.0015548421738897469,0.005200854988858078,-0.004378338066112264,0.022122578890609625,0.008512282877674667,1.0,0.3967567419031466,0.02020640722817077,0.05293529545326373,-0.006530370707371696,0.009866548145215122,-0.0755515148392088,0.07003766701323982,-0.07298404637751997,0.018900997738370985,-0.025813420376380666,-0.03875166184144366,-0.06847597369857489
sem_ing_carr_act,-0.039142629134279204,0.0018680194546221859,-0.016790552454183524,-0.13769114810596594,0.12925649609652823,0.7722698167973011,0.3967567419031466,1.0,-0.01191131278726704,0.0021561064589130674,0.005824072908265906,0.03409271617437805,-0.06241798689887785,0.029289418045950047,-0.05456914407213751,-0.02461776310805453,-0.0472217617382427,-0.07315139016392766,-0.02044486988948562
cod_inst,0.0025608790033496494,0.0004936199175563231,-0.02782536367318486,-0.008562832008180568,-0.01260242305406536,-0.005975651859626145,0.02020640722817077,-0.01191131278726704,1.0,0.29005991311764734,-0.027672407377301207,0.01621053078608769,-0.4659011439931463,0.02096163488726919,-0.45374014598513496,-0.18545100118866595,-0.38191712930755334,-0.3233767008357546,0.08413517032511025
cod_sede,0.06004774287689178,0.0010111564680940338,-0.036831592534423974,0.03531144215772072,0.08335757618493804,-0.021784170366038108,0.05293529545326373,0.0021561064589130674,0.29005991311764734,1.0,0.07962791750581147,0.0468506079944027,-0.2932636424999843,-0.04753301540895211,-0.3120093719997608,-0.019787886285713784,-0.29458433667606876,-0.32963741319188566,-0.040732161676948965
