,cat_periodo,MRUN,GEN_ALU,FEC_NAC_ALU,anio_ing_carr_ori,sem_ing_carr_ori,anio_ing_carr_act,sem_ing_carr_act,cod_inst,cod_sede,cod_carrera,version,dur_estudio_carr,dur_proceso_tit,dur_total_carr,valor_matricula,valor_arancel,codigo_demre,acre_inst_anio,nivel_carrera_2_Carreras Profesionales,nivel_carrera_2_Carreras Técnicas,nivel_carrera_2_Doctorado,nivel_carrera_2_Magister,nivel_carrera_2_Postítulo,region_sede_Antofagasta,region_sede_Arica y Parinacota,region_sede_Atacama,region_sede_Aysén,region_sede_Biobío,region_sede_Coquimbo,region_sede_La Araucanía,region_sede_Lib. Gral B. O'Higgins,region_sede_Los Lagos,region_sede_Los Ríos,region_sede_Magallanes,region_sede_Maule,region_sede_Metropolitana,region_sede_Tarapacá,region_sede_Valparaíso,region_sede_Ñuble,area_conocimiento_Administración y Comercio,area_conocimiento_Agropecuaria,area_conocimiento_Arte y Arquitectura,area_conocimiento_Ciencias Básicas,area_conocimiento_Ciencias Sociales,area_conocimiento_Derecho,area_conocimiento_Educación,area_conocimiento_Humanidades,area_conocimiento_Salud,area_conocimiento_Sin área definida,area_conocimiento_Tecnología,tipo_inst_2_Centros de Formación Técnica,tipo_inst_2_Institutos Profesionales,tipo_inst_2_Universidades (* Carrera en Convenio),tipo_inst_2_Universidades CRUCH,tipo_inst_2_Universidades Privadas,acreditada_carr_ACREDITADA,acreditada_carr_NO ACREDITADA,acreditada_inst_ACREDITADA,acreditada_inst_NO ACREDITADA,forma_ingreso_1- Ingreso Directo (regular),forma_ingreso_10- Otras formas de Ingreso,forma_ingreso_11- Articulación de TNS a carrera profesional,forma_ingreso_2- Continuidad desde plan común o Bachillerato.,forma_ingreso_3- Cambio Interno,forma_ingreso_4- Cambio Externo,forma_ingreso_5- Ingreso por Reconocimiento de Aprendizajes Previos (RAP),forma_ingreso_6- Ingreso especial para estudiantes extranjeros,forma_ingreso_7- Ingreso a través de PACE,forma_ingreso_8- Ingreso a través de programas de inclusión,forma_ingreso_9- Ingreso por características especiales,jornada_A Distancia,jornada_Diurno,jornada_Otro,jornada_Semipresencial,jornada_Vespertino,modalidad_No Presencial,modalidad_Presencial,modalidad_Semipresencial,rango_edad_15 a 19 años,rango_edad_20 a 24 años,rango_edad_25 a 29 años,rango_edad_30 a 34 años,rango_edad_35 a 39 años,rango_edad_40 y más años,requisito_ingreso_Bachillerato,requisito_ingreso_Ciclo Básico,requisito_ingreso_Educación Media,requisito_ingreso_Especialidad Médica u Odontológica,requisito_ingreso_Licenciatura,requisito_ingreso_Magíster,requisito_ingreso_Plan Común,requisito_ingreso_Postítulo,requisito_ingreso_Técnico de Nivel Superior,requisito_ingreso_Título Profesional,tipo_plan_carr_Plan Especial,tipo_plan_carr_Plan Regular,tipo_plan_carr_Plan Regular de Continuidad,vigencia_carrera_VIGENTE CON ALUMNOS NUEVOS,vigencia_carrera_VIGENTE SIN ALUMNOS NUEVOS
cat_periodo,1.0,0.005512610898298172,0.011630934681778695,0.3934366987531259,-0.0972085730317616,-0.043593674093436674,0.07031337430048223,-0.03914262913300435,0.0025608790033448832,0.06004774287669334,0.17229247552905638,0.16816230243837585,-0.02186152000998878,-0.08120041198721314,-0.05259285393762591,0.17828505906729808,0.25513276644504007,0.012750596383594208,0.07522339910933898,-0.005152349540802664,0.004309350753305212,0.0008437885123099824,0.0029007442193013716,-0.0003484324036768208,-0.00025681342019507215,-0.0005244601495305807,-0.0006992031600092965,0.0006402768006345441,6.2499481172225046e-06,-0.00038372746771277166,0.0008415051501531693,0.0014294350736837342,0.0011498027075887247,0.00019032549381234519,-0.00046449633211897713,-0.002277687345785016,0.000786824442428912,3.869544814038228e-05,-0.0009706098294536718,0.0004819771086178632,0.002746271832381956,-0.0017967961549584795,-0.002416097346087218,5.4074550204262716e-05,-0.0007230836964649697,-0.002177509385538514,-0.004511932524930694,-0.0011519010637221446,0.00037865934402703624,-0.0013507748583879563,0.004652769544390852,-0.0020234281922583384,0.007856696912699941,,-0.0020678754044427252,-0.0038766516801676774,0.028208403234116143,-0.027860653139008405,-0.00265452789754755,0.0026545278975475504,,,,,,,,,,,,0.004849932129002648,-0.004923526760383421,-0.004494247483165141,0.00480365709735727,0.004402969034850618,0.004849932129002648,-0.00782764132901957,0.006356185890176253,-0.0031867362444560825,-0.004524394877647138,0.0034707941321445363,0.0042561187989213186,0.002721665393204008,0.00362785860616101,0.0012481087516806272,0.0008226591422248064,0.19336255386678805,0.0013886239366643312,0.03486713191668277,0.004152035993521589,0.007291942881650103,0.0008226591422248774,0.025934421363293755,0.033264188800656555,0.00041518552507140215,-0.0015165239319171013,0.010857508183119091,0.1991347182102644,0.050313656671577514
MRUN,0.005512610898298172,1.0,-0.0012339219530735374,0.0004516407780817572,-0.0014187237104306598,0.0007388152359143424,0.0015548421738861885,0.0018680194546330472,0.0004936199175562802,0.0010111564680917381,0.003275962947578778,0.0018651020102396837,-0.0035980247269478665,-0.0009663633788973402,-0.0036842375865374505,-0.0006497756482381177,0.00011953383071486995,-0.005485725047991297,0.0001246052147647864,-0.012760638992276398,0.010792284064124151,0.0026064478752645423,0.007008199041039484,-0.001249123758717162,-8.082974311432858e-05,1.1210422740794574e-05,-0.0007111389207107481,0.002471999391600075,-0.0003153517644059723,-0.00018854405957629305,0.0016166152406795972,0.0047408473192451835,0.003211597960384838,0.00014351990206498103,-0.0018069398494139006,-0.005532474122953349,0.0022061890573054875,-0.0006857590299400331,-0.003489274392455651,-9.133629690231635e-05,0.006938801365266922,-0.005315107888271492,-0.006913284666895357,-0.0011101939323721521,-0.0013799060713093308,-0.006057112422251205,-0.01109795226416991,-0.0016379327583379657,0.0011469134437176718,-0.0036880877301188777,0.012056240475484288,-0.004047556090683673,0.01895098992585232,,-0.004880722677232991,-0.010052733728456649,0.06720080318006322,-0.06642397226423581,-0.007709969055426206,0.007709969055426197,,,,,,,,,,,,0.012696466954455629,-0.013085660507955113,-0.010424756943977197,0.01063812226801622,0.011604447466525974,0.012696466954455629,-0.019593314516867258,0.015219277277361502,-0.008336946321007234,-0.010909373469086322,0.008593694567273956,0.00997583916719976,0.00712084495290054,0.009292816386482753,0.002099516492534637,0.001974068226829515,0.4706669564673318,0.003108526689992453,0.08404687253411862,0.00970632579858203,0.018075464989112684,0.0021022842106313455,0.06322684682808655,0.08108711290788655,0.003063205088782,-0.005759155230309988,0.02661871844615856,0.4847266026268989,0.1219937232554591
GEN_ALU,0.011630934681778695,-0.0012339219530735374,1.0,0.01272775153576136,-0.04297473555068251,-0.006205804772676805,0.005200854988728963,-0.016790552454601843,-0.027825363673142117,-0.03683159253438372,-0.01941640595338562,-0.0024469206752170927,-0.008600811578994153,0.04369855894772485,-0.008327331973583714,-0.05898697045549275,-0.03536986180869269,0.02544075762914795,-0.12471171399494643,-0.005225452086979675,0.00190839689038007,-0.003775985446470494,-0.0013770697994453418,0.015339521312050346,-0.0016837582099667662,0.0015360343485185948,-0.0015391956513699822,0.0009415857898392473,-0.0002806665494950888,0.0033722738544005775,0.0032961973814855535,5.255088906689632e-05,0.006253714755789768,-0.00037164438083965676,0.0009701459025588368,0.01089854112670334,-0.009367279364153826,-0.0003591882060255499,-0.0014353660354651443,0.005023151980125389,0.0018925912794591235,-0.005204234207943337,-0.001993154312965367,-0.0017162510436065919,0.02674219248481496,-3.9297956832646874e-05,0.045052178869042656,0.006278814110356197,0.06265339685336248,-0.002384506847755899,-0.1095919240961281,0.0030995382416418404,-0.006179112802519907,,-0.014294559289786986,0.017361832244771114,0.005892543535207622,-0.005748727995441237,-0.015705898663267968,0.015705898663267968,,,,,,,,,,,,0.010367999249934258,0.018805250277605174,0.0019371833132817789,0.005446012649955171,-0.023984049100336698,0.010367999249934258,-0.010821788309552084,0.004295673114590323,0.006067335365522996,0.0034902892150861587,-0.007202705460817159,-0.0036435533398521598,-0.0030506294459686197,0.00031805642165814557,0.0003746433622549743,-0.00044176102224311353,0.002157741841270048,-0.00010055179426119583,-0.0008621002962342206,-0.0005573764645185994,-0.0003825093097699227,-0.000816487608931665,0.0004050361005879799,0.0003315440171843434,-0.010229528496481627,0.010212950213557807,-0.0003243478541465749,0.0021873585716976843,0.0002783574011423994
FEC_NAC_ALU,0.3934366987531259,0.0004516407780817572,0.01272775153576136,1.0,-0.09106040092832063,-0.15675421359188757,-0.00437833806608415,-0.1376911481068081,-0.008562832008181226,0.03531144215775932,-0.07717185817212419,-0.030903201255130623,0.24296875702587012,-0.06550098193057204,0.22428238458919825,0.2115705105774419,0.25764124618098094,0.2648982533964392,0.13857000538437225,0.04545615738665976,-0.0005984730674247435,-0.022692756819827426,-0.06727598647382486,-0.06077058435120564,-0.007019766278263494,-0.0023569541761412583,0.0024646254670817203,-0.0011020696871622277,0.007158015877198008,0.005988923795976569,0.007614462424612709,0.001486627198186981,0.0017429089440491805,0.005199871394194919,0.0019353459233546852,-0.018026243511358564,-0.008223593739963439,-0.0022682852980663703,0.009279120843490892,0.0032213420923730978,-0.017118103056376097,0.0041694234441107805,0.013068316834263863,0.007617885200323373,-0.010953779477810033,-0.009383614588513384,-0.013966583227877808,-0.006586530460590164,0.018417010255767488,0.0025107083179958657,0.01221599411129967,-0.0009371782427453939,-0.006088404116602189,,0.013127147197065543,-0.006346130543136914,0.043492324839124526,-0.042642100938920124,0.05301281995684761,-0.05301281995684761,,,,,,,,,,,,-0.06328265455477401,0.10861433602436553,-0.04425525149524916,-0.019021198050588307,-0.07929730961363825,-0.06328265455477401,0.061623895740525174,-0.01926294202696001,0.10412127950584212,0.09269664559703539,-0.04730025060053415,-0.08037755956064144,-0.09659615044529823,-0.1717329290282527,0.0010089952027158555,-0.00017349187953534046,0.0725971596305892,0.0015050246528816535,0.013458390271844922,0.0012961513630769062,0.002647756946348232,0.0007045624042850471,0.009398894509417433,0.012865948702985045,-0.06456649062650038,0.0638922669662667,0.003552800378863941,0.0751729235051576,0.017862601455592143
anio_ing_carr_ori,-0.0972085730317616,-0.0014187237104306598,-0.04297473555068251,-0.09106040092832063,1.0,0.07316832052794331,0.022122578892461442,0.12925649609503626,-0.01260242305401848,0.08335757618386003,-0.018517096401744676,-0.0039034352796666026,0.011248657920914,-0.024470774601055657,0.012185948491422098,0.024451688814812123,-0.07809861219114414,0.048027018113763,-0.010073831110097388,0.024833376205056604,-0.01885313159019458,-0.0033426071868333522,-0.010359055951721272,-0.009526024963631604,0.011380136951632544,-0.004835822965726342,0.0015671081393976204,0.00238573951493545,-0.004979197453154999,0.01045584899085411,-0.0022423001873701463,0.0029597776024678974,-0.004689262705378924,-0.000710825329877861,0.011887010012616892,-0.0012587655017196624,0.0001843005764794418,0.0018305178497732039,-0.00896526126550089,0.0044366932122175545,0.01322334638788291,-0.00034065036941113223,-0.005205999188632599,-0.006688677025490238,-0.0031072451472646864,-0.003216834192395313,-0.010107699536758994,0.0002405847323642605,-0.02041936437576874,-0.0011617229988758469,0.023352215275806238,-0.008490725627092313,0.0101228111697483,,-0.02905562630705488,0.024722422205869447,-0.01898928534239517,0.019162632263925942,0.012090922195310268,-0.012090922195310268,,,,,,,,,,,,0.003669391674770678,-0.019987668987129746,0.015361474165114318,-0.0030897843700163313,0.015687807904555925,0.003669391674770678,-0.003488895205956969,0.0009841579341372277,-0.02802658064821698,0.0008932082121648035,0.020160320889369452,0.007714391421515977,0.004509682952856648,0.0013891261788723192,-0.0002639164655359587,-0.0003065681608805094,-0.008186535281285623,0.0001747178988810977,-0.0013392202012111477,0.000265437452062991,-0.000493132269318352,-0.0003185800730622151,-0.0013114550472597536,-0.0011724839868542515,-0.006512992089985548,0.006575164535933468,-0.0009221836181226618,-0.008394194941177817,-0.001962481542296022
sem_ing_carr_ori,-0.043593674093436674,0.0007388152359143424,-0.006205804772676805,-0.15675421359188757,0.07316832052794331,1.0,0.008512282877825803,0.7722698167847729,-0.005975651859618438,-0.02178417036607981,0.034782234703402144,0.028527309254809886,-0.07985970491909934,0.0028250643246334147,-0.07485682114708492,-0.04454897248485922,-0.030395350861486446,-0.06531112458047367,0.02399216148128079,-0.018547593203185154,-0.011515765524133163,0.005244473723097011,0.027564149191326832,0.06364945227144951,0.004279184426452926,-0.007115807651206152,-0.0053569597518571595,-0.0022945492408973107,-0.013643301122141594,-0.007769967800019279,-0.009697650532607544,-0.006229163411687378,-0.005056952360895004,-0.00715860786383657,-0.004642042272490162,0.06876606748062421,-0.0001359131025938402,-0.00644636711018751,-0.0060283750521517975,-0.0055565217144115196,0.006756599223945537,0.0012592791271584937,-0.002499417821042252,-0.004019279222823082,-0.00041144098624998365,-0.004610514061496864,0.020022984654164085,-0.0006735688679860028,-0.008157905721354174,-0.00015350848431052892,-0.01022756767501022,-0.002256864648082478,-0.0001017467255889902,,0.010146643882691542,-0.008231113366569065,-0.0008336306320919926,0.0006171949207345664,-0.03321369782096271,0.03321369782096271,,,,,,,,,,,,0.08113344755551916,-0.02689430173482843,0.008500111580294708,0.008015312227932114,0.0004554768297398786,0.08113344755551916,-0.0714545848052826,0.01291166807726294,-0.020236926208310992,-0.01955501070842807,0.011910740736015562,0.01717321637347993,0.017475227370421287,0.031272300199091226,-0.00021020957724427912,-0.00024272918268177388,-0.006003709020215125,0.00032213167621784926,-0.0008955981759785508,0.0007180436441288755,0.0001859293520713436,-0.0012720666546919093,-0.0002541245684408818,-0.0019385042080621152,0.02967053422587779,-0.02949210425447318,-0.0002705521172448499,-0.0060314493683467345,-0.0018430567438687602
anio_ing_carr_act,0.07031337430048223,0.0015548421738861885,0.005200854988728963,-0.00437833806608415,0.022122578892461442,0.008512282877825803,1.0,0.3967567419016498,0.0202064072278557,0.05293529545283184,-0.006530370707377953,0.009866548145232412,-0.07555151483813584,0.0700376670118538,-0.07298404637637716,0.01890099773810772,-0.025813420376317685,-0.03875166184091058,-0.06847597369891752,-7.785418626318522e-05,0.0005864779640801539,-0.00012271833080917436,-0.000500554422968754,-0.001029288946326289,5.212606349956277e-05,-0.00032064553859146525,0.0007343804818651504,0.00012615419223003456,-0.000686266988254618,0.0003009354207713687,-0.0011083522747200266,0.00011172910975324177,-0.0005870545758239586,0.0013380396922606985,-0.00013692373296322828,0.0019409283164007478,0.001918281225636279,-0.0027489223862667608,-0.0029400997143939887,0.0003009982687886886,0.0025182388630203647,-0.0001149653151175423,-0.00027465117123093324,0.0013489874149507095,-0.00020056862969317817,-0.00017068262136918098,-0.00018860681161567667,-0.0003859888413547327,-0.001806918133205986,0.0006122454050955365,-0.0003465056658806432,-0.0012311331670623912,0.003335697649389715,,0.0008407660331035938,-0.003168226414352087,-0.0019006398710135208,0.0021165266430660324,-0.0040059848422749934,0.004005984842274987,,,,,,,,,,,,-0.0008495085812759302,-0.003196714288873769,-0.0010971836105552885,0.00017062237529206288,0.003856938365528305,-0.0008495085812759302,0.0011454032726650294,-0.0007586927183970456,-0.0006594722236349708,-0.0005309358044031704,0.00014667074126650096,0.0009399662686430038,0.0005704330543782212,0.0007834957596314387,0.0001426725137024557,0.00012295365208393955,0.0004313063888601818,0.00021418443897490777,0.00013076917637389507,-5.291593395735818e-05,-0.00016205273800932882,0.0001356531694388689,0.0010364664070032423,0.0005480737516472842,0.0003778189382901347,-0.00036429905144061306,-9.736862931532286e-05,0.0008256870933140035,0.0002119024566958449
sem_ing_carr_act,-0.03914262913300435,0.0018680194546330472,-0.016790552454601843,-0.1376911481068081,0.12925649609503626,0.7722698167847729,0.3967567419016498,1.0,-0.011911312787128047,0.0021561064589185747,0.005824072908266406,0.03409271617424989,-0.06241798689881137,0.029289418044101047,-0.054569144072377423,-0.024617763107907868,-0.04722176173790817,-0.07315139016308696,-0.0204448698894858,0.007231477182342235,-0.01501948491543605,9.743844647776005e-05,0.00548255932920413,0.01833525529658032,0.017747045838778536,-0.0028244455382546736,-0.003489810406020072,-0.0001291068844150144,-0.010914887709986191,-0.005275687989264613,-0.006647844383699131,-0.006532694126040447,-0.004898775830251933,-0.007011891426105978,-0.0016066124439251617,0.06435490571107337,-0.013409106853849169,-0.0015965323444846562,-0.005420092166042117,-0.0010156313986471898,0.0023892642722297915,0.0038972822659346386,-0.007302514145534712,-0.004885404120271237,-9.980922689621067e-05,-0.0060064156502327255,0.011260853169709891,-0.0014123420873211978,-0.009610153933068818,-0.0008372112036933697,0.004278442547789714,-0.002164336534691966,-0.012857076516309301,,0.02229903088700451,-0.008484489970965202,0.0033796080519539226,-0.003188710117606285,0.0001916763985472563,-0.00019167639854725642,,,,,,,,,,,,0.030299050429379488,-0.008673319813692022,0.0013022663659595444,0.001776432966353344,-0.00037942051710634163,0.030299050429379488,-0.029850992514222355,0.009793177421941125,-0.012420990704705839,-0.004906529131081726,0.007293608968137447,0.006395040425657101,0.006487318856442936,0.00954494588164996,-0.00024005586910602844,-0.00021471243975511472,-0.008083764220992365,0.0006347126847283819,-7.970663846658033e-05,0.0003702433965239241,-0.0003571526473937304,-0.00021471243975469705,3.590474015260851e-05,-0.002287263513418267,0.02790079231563092,-0.027605710872383234,-0.0010848119352424611,-0.007677046252807933,-0.00262755755369387
cod_inst,0.0025608790033448832,0.0004936199175562802,-0.027825363673142117,-0.008562832008181226,-0.01260242305401848,-0.005975651859618438,0.0202064072278557,-0.011911312787128047,1.0,0.290059913117377,-0.02767240737731905,0.016210530785834776,-0.46590114399376403,0.020961634887542033,-0.453740145986132,-0.18545100118929916,-0.38191712930674354,-0.3233767008371849,0.08413517032542808,-0.17444786606654597,0.19660986550216233,-0.005641823784007474,-0.025117574442837423,-0.00791085256194575,0.002611079209058711,0.009922152521021932,0.009297543486587661,0.016662383573372675,-0.002438758968401946,0.006752325097844064,0.0013129247210012264,0.017150068025678828,0.006498650637934368,-3.7510574460157874e-05,0.00649513728846033,0.009407416846402679,-0.018091190911943767,-0.0016090800070865164,-0.004909717914854758,0.004764979942554924,0.040148183094921144,-0.003756589983746141,-0.006408501600464908,-0.006436403642700085,-0.032780300364866524,-0.02277899612993912,-0.02338574304032365,-0.0025928314466788253,-0.014360451094328677,-0.0031114362219357185,0.03693478247932121,0.25399467127736675,0.025722658514885696,,-0.051621926638870684,-0.15558404224760944,-0.05569581991110527,0.0569443091271103,-0.09572772632902928,0.09572772632902928,,,,,,,,,,,,0.0014886791617534838,-0.048406182069709404,-0.01920227998182772,-1.37395564361658e-05,0.05576928477443768,0.0014886791617534838,-0.004841153596568981,0.005783852479012724,0.0025148596541741224,-0.008037414723997747,0.0026342068053592724,0.006282441016924718,0.0035723598146494145,-0.0003385051323920855,-0.00031797131739216535,0.00022204656006635725,0.0011463907268335202,-0.0003085431484306581,0.0002368665596837308,0.0003165123273754166,0.0008729907286014053,0.0013331250957004347,0.00030987742144168896,0.0006623908160585563,-0.010737527656678023,0.010620042653224103,0.0006444163037866656,0.0013481673754018751,0.0004699892002713531
cod_sede,0.06004774287669334,0.0010111564680917381,-0.03683159253438372,0.03531144215775932,0.08335757618386003,-0.02178417036607981,0.05293529545283184,0.0021561064589185747,0.290059913117377,1.0,0.0796279175058122,0.04685060799377792,-0.29326364249975045,-0.04753301540909335,-0.31200937199990614,-0.01978788628564961,-0.29458433667552714,-0.3296374131940015,-0.04073216167697794,-0.06060378011489004,0.07377696553132256,-0.00857440639198916,-0.01701689733377234,-0.00728603195096887,-0.016244757289359438,-0.01269035414075525,0.007049761148876121,0.016926371604543664,0.007083036684975714,0.013772653024215483,0.00507319616603254,0.034987269571774476,0.024118097855792803,0.00357603748406423,0.018647632695034354,0.010940201961768604,-0.021634620977350413,-0.008049050485439933,-0.02270563957689321,0.01950179200421066,0.004734112080461366,-0.00048094477277466915,-0.008126396608096288,-0.014216508262138192,-0.013718455543390101,-0.01566289109971693,-0.016248439584220595,-0.005761132632487459,0.0005177216568865827,-0.0036002817907038387,0.03491033472619445,0.07912738480849603,0.05981932335537529,,-0.08499318354440424,-0.030131157768743214,-0.03833376785942303,0.038296339500562736,0.010874540665198358,-0.010874540665198358,,,,,,,,,,,,0.0013532606666148152,-0.0267135956222288,0.005945794645696131,-0.0020588448142219214,0.02602786841061514,0.0013532606666148152,0.0004701597039720104,-0.0023985254595357947,0.0018486778619442598,0.0023884786629492006,-0.002113949203930537,-0.0005248628963391817,-0.0023130824073444977,-0.0028080140072686125,-0.0007232134369293679,-0.00016224295515491333,0.014761153086942928,-0.00011291364960625288,0.0029316022891921895,0.001130308411233473,0.0012254944493197437,0.0005586701418675971,0.0018978840699252412,0.002060184800427305,-0.0015976344643587204,0.0014017763035544125,0.001851198989008915,0.015078274796559038,0.003616546734910522
