,cat_periodo,MRUN,GEN_ALU,FEC_NAC_ALU,anio_ing_carr_ori,sem_ing_carr_ori,anio_ing_carr_act,sem_ing_carr_act,cod_inst,cod_sede,cod_carrera,version,dur_estudio_carr,dur_proceso_tit,dur_total_carr,valor_matricula,valor_arancel,codigo_demre,acre_inst_anio
cat_periodo,1.0,0.003253657476584447,0.010701926768265072,0.34935341891271304,-0.04831241845552545,-0.021135438638145817,0.03966384385694102,-0.03747897528507048,0.000802735311544082,0.05818172898754405,0.15624850905829343,0.15429600854185319,-0.02010840757116447,-0.05454542496642125,-0.043956337166269586,0.13534896292583362,0.22096816540344508,-0.10934975883949118,0.03616724191595921
MRUN,0.003253657476584447,1.0,-0.0013671873516804428,-0.0004482875521283514,-0.0010567194433532899,0.0016745527957208704,0.0007553560422920096,0.0028814826738930714,7.952280512492321e-05,-7.328153437610614e-05,0.00259756841442817,0.000975079522847377,-0.003063342441877769,-0.0005193248841368767,-0.0029790665625817466,-0.00010639654056471486,0.0007863243190522119,-0.0025597457599064568,0.0007002316939148428
GEN_ALU,0.010701926768265072,-0.0013671873516804428,1.0,0.014895790309818916,-0.04487690476230839,-0.007440804785838018,0.0037157494148074843,-0.024616362189697618,-0.028071095085034425,-0.0341245653704071,-0.01952950752088781,-0.006819656911390001,-0.008614344316902429,0.061531627583547764,-0.005224493706400031,-0.058495763464773594,-0.039060090473874716,0.009393942333375743,-0.1264842258055381
FEC_NAC_ALU,0.34935341891271304,-0.0004482875521283514,0.014895790309818916,1.0,-0.07805769879888605,-0.15852830014222888,-0.005492596577720541,-0.13832675997275812,-0.006501288668309324,0.036139758925557784,-0.0918171321911246,-0.032355062538471605,0.2475297098492745,-0.06235062391362987,0.2286046479134158,0.17544613109078583,0.2188678376723346,0.22723278514399461,0.12247648480343838
anio_ing_carr_ori,-0.04831241845552545,-0.0010567194433532899,-0.04487690476230839,-0.07805769879888605,1.0,0.0724879854920583,0.012391280889012144,0.1481062451212386,-0.022404509219677408,0.08722875530089501,-0.017593733965091063,0.016429137947891012,0.029141074907852248,-0.03916884469446258,0.02597807833941384,0.03753526667446922,-0.057313292538486806,-0.03889797627795862,-0.02044524125963808
sem_ing_carr_ori,-0.021135438638145817,0.0016745527957208704,-0.007440804785838018,-0.15852830014222888,0.0724879854920583,1.0,0.004389715759173747,0.8152360471777834,-0.011918873084845296,-0.02703190865581036,0.05135100224480684,0.02252903698533119,-0.088897376127668,-0.00968148698873767,-0.08575917299686472,-0.021786379731733235,-0.008589074722854,-0.05168998057307747,0.022900812227555512
anio_ing_carr_act,0.03966384385694102,0.0007553560422920096,0.0037157494148074843,-0.005492596577720541,0.012391280889012144,0.004389715759173747,1.0,0.23018361870488324,0.011358736111075761,0.0304682406295523,-0.005152576379896904,0.005090105842363385,-0.046665019388219625,0.038279571639201294,-0.043089992306681174,0.01099556957289846,-0.018314441057370377,-0.02845827653133374,-0.04696703975307892
sem_ing_carr_act,-0.03747897528507048,0.0028814826738930714,-0.024616362189697618,-0.13832675997275812,0.1481062451212386,0.8152360471777834,0.23018361870488324,1.0,-0.013427599066447159,0.010750653400548184,0.014511450549928563,0.027764198183162142,-0.06447211393938634,-0.005699730764738758,-0.06134210646353084,-0.012022026454389196,-0.04134806339000008,-0.05427941399180834,-0.006582805287630959
cod_inst,0.000802735311544082,7.952280512492321e-05,-0.028071095085034425,-0.006501288668309324,-0.022404509219677408,-0.011918873084845296,0.011358736111075761,-0.013427599066447159,1.0,0.29235129276987565,-0.031353900614722,0.020787307883688055,-0.47127465794189793,0.023482013636057918,-0.45884341440469045,-0.19166915996245812,-0.38531606016160197,-0.3342061381881059,0.07583531990579236
cod_sede,0.05818172898754405,-7.328153437610614e-05,-0.0341245653704071,0.036139758925557784,0.08722875530089501,-0.02703190865581036,0.0304682406295523,0.010750653400548184,0.29235129276987565,1.0,0.07386455027317729,0.06369440232485424,-0.2877155167627745,-0.0567926844538182,-0.3069836146100828,-0.025748387453743287,-0.2964582592018068,-0.351668420585734,-0.050982477547032584
cod_carrera,0.15624850905829343,0.00259756841442817,-0.01952950752088781,-0.0918171321911246,-0.017593733965091063,0.05135100224480684,-0.005152576379896904,0.014511450549928563,-0.031353900614722,0.07386455027317729,1.0,-0.0002582684026298534,-0.2772972410344885,-0.1169363287442709,-0.289820922217647,-0.0627776100590499,0.023250586068806905,-0.17041695405191196,0.1776253154435539
version,0.15429600854185319,0.000975079522847377,-0.006819656911390001,-0.032355062538471605,0.016429137947891012,0.02252903698533119,0.005090105842363385,0.027764198183162142,0.020787307883688055,0.06369440232485424,-0.0002582684026298534,1.0,-0.061289374507668415,-0.037514926951522094,-0.06979727443720928,0.02043539614587736,-0.0577965027811322,-0.07436264643053965,-0.13580328607341352
dur_estudio_carr,-0.02010840757116447,-0.003063342441877769,-0.008614344316902429,0.2475297098492745,0.029141074907852248,-0.088897376127668,-0.046665019388219625,-0.06447211393938634,-0.47127465794189793,-0.2877155167627745,-0.2772972410344885,-0.061289374507668415,1.0,-0.023183109048363484,0.9862622584751081,0.2513316176789098,0.5329124557019681,0.4724928911981189,0.054326840750400326
dur_proceso_tit,-0.05454542496642125,-0.0005193248841368767,0.061531627583547764,-0.06235062391362987,-0.03916884469446258,-0.00968148698873767,0.038279571639201294,-0.005699730764738758,0.023482013636057918,-0.0567926844538182,-0.1169363287442709,-0.037514926951522094,-0.023183109048363484,1.0,0.039539978053349245,-0.1989729506233988,-0.1708843903216508,-0.08768906521491768,-0.13597671001301231
