GEN_ALU,rango_edad_15 a 19 años,rango_edad_20 a 24 años,rango_edad_25 a 29 años,rango_edad_30 a 34 años,rango_edad_35 a 39 años,rango_edad_40 y más años,tipo_inst_3_Centros de Formación Técnica,tipo_inst_3_Institutos Profesionales,tipo_inst_3_Universidades Estatales CRUCH,tipo_inst_3_Universidades Privadas,tipo_inst_3_Universidades Privadas CRUCH,jornada_A Distancia,jornada_Diurno,jornada_Otro,jornada_Semipresencial,jornada_Vespertino,tipo_plan_carr_Plan Especial,tipo_plan_carr_Plan Regular,tipo_plan_carr_Plan Regular de Continuidad,dur_estudio_carr,"nivel_carrera_1_Bachillerato, Ciclo Inicial o Plan Común",nivel_carrera_1_Licenciatura No Conducente a Título,nivel_carrera_1_Profesional Con Licenciatura,nivel_carrera_1_Profesional Sin Licenciatura,nivel_carrera_1_Técnico de Nivel Superior,oecd_area_Agricultura,oecd_area_Ciencias,"oecd_area_Ciencias Sociales, Enseñanza Comercial y Derecho",oecd_area_Educación,oecd_area_Humanidades y Artes,"oecd_area_Ingeniería, Industria y Construcción",oecd_area_Salud y Servicios Sociales,oecd_area_Servicios,oecd_area_Sin área definida,acreditada_carr_False,acreditada_carr_True,acreditada_inst,anio_en_carr_actual,Class
1.0,0.04029369713744209,0.013213450792870705,-0.03358660887666855,-0.013932906377455296,-0.011066907640025374,-0.004224804794691936,0.006526431356700496,0.026129449103613388,-0.058299319752724135,0.04787694654074055,-0.030183250176430917,0.006136897609958855,0.05927805021044652,-0.00035983831363918745,0.025973105962242886,-0.06624477728736423,-0.03909987697752996,0.048299040076404655,-0.029377323739222232,-0.049196951056923,-0.013680356188493269,0.0032120287090643194,0.007715416070896325,-0.05340666801082805,0.04655776999211649,-0.00905671656396353,-0.12894840202596478,0.041014164297416056,0.19170223427226904,-0.003183971000294589,-0.2974445968285883,0.21528486246191947,-0.02675187470546299,-0.006348451213355957,-0.014447020036848918,0.014480609521251206,-0.070789906221037,-0.0032950791468177713,-0.05277068954117228
0.04029369713744209,1.0,-0.39324994673796776,-0.20456203242794374,-0.11742272565419189,-0.0813327434594801,-0.08073606672308428,-0.003471272754368421,-0.08127747118823292,0.10700764665252109,-0.07668539577208261,0.08159480596399334,-0.04517089522002742,0.19975868831006913,-0.03134408092573583,-0.027764791985793808,-0.18234309047867037,-0.0755575759840152,0.08333811908410858,-0.03383133755060705,0.05183364929530912,0.10759298518515907,0.016424762757590822,0.08393803159686478,-0.1344954776841798,0.013246425927735776,0.006414116385565907,0.01606183278951288,-0.050406217960135065,-0.014175973859437193,0.018136448262298713,0.0009641728539271372,0.029419529105478355,-0.020501493113247605,0.006431191375638642,-0.0010713664253504242,0.0012050710918864694,0.07891182570032088,0.023712514421904456,-0.06468193165951339
0.013213450792870705,-0.39324994673796776,1.0,-0.5083803466957646,-0.2918205556944722,-0.2021292408258505,-0.20064637168446187,-0.03222246892935999,-0.062453283917299277,0.06240135077753882,-0.02780403053916391,0.0735347040348061,-0.10340905099771591,0.2681032896377895,-0.06031671521625676,-0.05420931438900957,-0.22776980796577473,-0.14310148867693992,0.12669255055243758,0.007393412923863916,0.12675966486427376,-0.01872965319715536,0.007920765674512595,0.09829151457710927,-0.05751114835481798,-0.05458751458280228,0.015863587493019214,-0.0017567795470550807,-0.05770932440835988,0.006222579457372097,0.03840762576710969,0.011293819300539814,0.009426801728364454,-0.006448777170756407,0.004053304150740993,-0.10395193737777729,0.1043509518299125,0.14298105012230358,0.015278124103664392,0.021911013790293768
-0.03358660887666855,-0.20456203242794374,-0.5083803466957646,1.0,-0.15180016290496226,-0.10514424390697448,-0.10437288022605619,0.0023701142951902134,0.04876150882364052,-0.06611030588272628,0.051765039358115404,-0.05417761571976651,-0.003599049794060169,-0.13867059067007748,0.009419142114418128,0.006785330312954158,0.1397312956230375,0.028804504365193863,-0.03034455504695984,0.009624928413092457,-0.032652835830713885,-0.03684032029331933,-0.012437390026098593,-0.04919944137965013,0.06683522650190128,-7.795663603113905e-05,0.00682478457867072,0.007343471279075997,0.006983213921299645,0.011407416186963974,-0.013138266083508363,0.00621165648769015,-0.011900667867069342,0.008970567594765853,-0.00583878803932696,0.006663845644185972,-0.006738885090102997,-0.04344058176788589,-0.011788965468379226,0.0046756768321553005
-0.013932906377455296,-0.11742272565419189,-0.2918205556944722,-0.15180016290496226,1.0,-0.06035491317640745,-0.059912134893101494,0.024078638915344522,0.076631688226778,-0.0769289461371656,0.03326828781669898,-0.07530918691431847,0.0721237186655986,-0.24247445555608443,0.053270551104891734,0.04273301937263456,0.21263986022343487,0.11048125174865525,-0.10121698881152251,0.0021036028095954514,-0.10757362450694925,-0.02312945498092552,-0.009955040703422771,-0.10175193168380685,0.08650789253562802,0.037962934767229554,-0.018200028285795703,-0.0033854035715929383,0.056447460693488265,0.0011321475667467698,-0.031823125106613545,-0.010362187336193594,-0.017508096769193716,0.017502494896416424,-0.003495405091394606,0.0684020046817842,-0.06859321434425579,-0.10790012870808945,-0.01829689642003272,0.020310202341876145
-0.011066907640025374,-0.0813327434594801,-0.2021292408258505,-0.10514424390697448,-0.06035491317640745,1.0,-0.04149808540203431,0.021725826107979157,0.05153322659625575,-0.05212835780764466,0.02351569051579882,-0.0563947477403748,0.09290198133575946,-0.2023628045135416,0.063786920034931,0.04488239101609902,0.16408165669733427,0.12392023942041351,-0.11559643448178075,0.0071034671663319175,-0.09608331620975731,-0.01632604516729217,-0.006900429025344078,-0.08012790843890637,0.06608662924625816,0.03136129822447059,-0.01959219678614092,-0.01095786627774079,0.058871387378544755,-0.008170649137885675,-0.02947232289200236,-0.007731998939174771,-0.01693694544401121,0.011234837033082415,-0.0024219376450460963,0.07156980159552279,-0.07188800663626747,-0.11076256081175606,-0.014098170675416587,0.013600816682721263
-0.004224804794691936,-0.08073606672308428,-0.20064637168446187,-0.10437288022605619,-0.059912134893101494,-0.04149808540203431,1.0,0.02842633201877275,0.04340056149184536,-0.051265151751953564,0.028505497336668892,-0.058021145357808106,0.1581865296197519,-0.2085221842074093,0.05191142801922164,0.06910421020771308,0.15229038677855047,0.16040739143735916,-0.15020788129179305,0.010514836935674864,-0.10180276928233377,-0.015952190805504845,-0.0024214696889488926,-0.0753263070096734,0.058250532114097524,0.03254500599976554,-0.021100414517798646,-0.023251797169388938,0.08456238979561494,-0.00814881618651573,-0.02946140734438833,-0.021316283921249474,-0.009580084506067755,-0.00165427075258381,-0.002227520917862731,0.08706454995904515,-0.08757042734868156,-0.15310649556990286,-0.017200734456867994,0.006200573229111195
0.006526431356700496,-0.003471272754368421,-0.03222246892935999,0.0023701142951902134,0.024078638915344522,0.021725826107979157,0.02842633201877275,1.0,-0.2177551427129052,-0.16833298727453402,-0.16981791893250267,-0.11506981093212493,-0.010092653786012604,-0.1208222264624317,-0.00877747317370607,-0.014246178096217834,0.12997047948244797,-0.012947987327990162,0.024044435158247033,-0.028200959115222198,-0.43361602408620914,-0.025672759995886446,-0.03131158146823701,-0.3020495464225187,-0.17823591387261986,0.5418337185020543,0.02717914468242673,0.0003472813972432505,-0.030934452129619015,-0.04959400270136749,-0.028072929318979853,0.003381632545817523,0.005704857322321092,0.10839114891167305,-0.004670654867101408,0.16331931689767681,-0.1631074312688147,-0.18376636791338632,-0.02252163395415715,0.012919909622475918
0.026129449103613388,-0.08127747118823292,-0.062453283917299277,0.04876150882364052,0.076631688226778,0.05153322659625575,0.04340056149184536,-0.2177551427129052,1.0,-0.38288848035047596,-0.38626609060685824,-0.2617366076236709,0.1096703209823288,-0.3178166621654334,-0.055457112832793795,0.060266943127360154,0.2979632442192306,-0.0815620123179545,0.09397091661590595,-0.04572171848275113,-0.38305140726157694,-0.05839499565806039,-0.07122100094260538,-0.6870387895410642,0.5607134973028592,0.262048986809545,-0.0599903122114142,-0.026340035357231263,0.01036463227972604,0.031550564872231575,0.044276271172612444,-0.0465769590799577,-0.006781430376643216,0.20755955623443437,-0.010623823489980738,0.05350180872903205,-0.05295828891352748,0.04151230475083035,-0.050323317587004604,0.08923902678098818
-0.058299319752724135,0.10700764665252109,0.06240135077753882,-0.06611030588272628,-0.0769289461371656,-0.05212835780764466,-0.051265151751953564,-0.16833298727453402,-0.38288848035047596,1.0,-0.29859834355695214,-0.20233232837363394,-0.0625043424328726,0.25067807516370505,-0.04710805539979503,-0.040908455195024236,-0.2249060655634352,0.13206528530059877,-0.15865353643417468,0.08893840922238473,0.3536125021114842,0.11129131563939446,0.10630180105744064,0.3843685128978666,-0.2179958943821103,-0.2732323883506003,0.028288801948359206,0.05489868656076904,-0.021186236310130106,-0.0901536243036059,0.02550793416436985,0.12624237669124028,-0.05236117916127291,-0.12148834101235907,0.026270876533074774,-0.12893060441413104,0.12913963454546445,0.21818139131783684,-0.033597412235125745,-0.09226211193173894
