,cat_periodo,MRUN,GEN_ALU,FEC_NAC_ALU,anio_ing_carr_ori,sem_ing_carr_ori,anio_ing_carr_act,sem_ing_carr_act,cod_inst,cod_sede,cod_carrera,version,dur_estudio_carr,dur_proceso_tit,dur_total_carr,valor_matricula,valor_arancel,codigo_demre,acre_inst_anio
cat_periodo,1.0,0.00427087513962261,0.010030715030431443,0.3489407618846489,-0.056162803042148234,-0.031212490148510814,0.05751209323752547,-0.04284972846719032,0.00046317196762466097,0.05165201032185165,0.15080454495322362,0.15147136079964524,-0.016153765046670533,-0.08109323468822859,-0.03990592187238197,0.14690379939157458,0.22825688609150424,-0.13648455636596815,0.04607776473890073
MRUN,0.00427087513962261,1.0,-0.001292976390221444,-0.0003195269347882791,-0.001609841247913302,0.001190120403486615,0.0012867045226952613,0.0014095613296637253,0.00045458774469939937,0.0001977003281428648,0.002710808796819935,0.0011686630410579718,-0.0033505557644553136,-0.0009146211571272543,-0.0033578527240226445,-0.0008980285815478131,0.0007316817768937906,-0.003493276049448464,0.000384523287001326
GEN_ALU,0.010030715030431443,-0.001292976390221444,1.0,0.012867720368683916,-0.04526753489707888,-0.004859058239876824,0.004086416170704133,-0.02094820125222385,-0.02861138215773207,-0.03469757276558473,-0.019768340676057695,-0.0073301634740915965,-0.0070999615831143625,0.0545231160918545,-0.004767599605008449,-0.06067427726836064,-0.036818690130036906,0.012825736229682264,-0.1252303728670091
FEC_NAC_ALU,0.3489407618846489,-0.0003195269347882791,0.012867720368683916,1.0,-0.08147641149481276,-0.16113898006736788,-0.008806752763852444,-0.13853551494016875,-0.0070675903927682245,0.03209084277235141,-0.09060784449137847,-0.03634906914392563,0.2500810603133889,-0.0637973905855344,0.23400735320661412,0.18751472655141221,0.23463707983354598,0.2230213808926592,0.1280140208307498
anio_ing_carr_ori,-0.056162803042148234,-0.001609841247913302,-0.04526753489707888,-0.08147641149481276,1.0,0.05981288363271498,0.02473003198234982,0.13708038672120884,-0.02537499018118544,0.08788514922122705,-0.01730588511070573,0.016964135103951714,0.03135650675570174,-0.03608789407219627,0.029350960199132203,0.0395362557961765,-0.05958678867997409,-0.03769597550730493,-0.030513815772402888
sem_ing_carr_ori,-0.031212490148510814,0.001190120403486615,-0.004859058239876824,-0.16113898006736788,0.05981288363271498,1.0,0.00787843318469058,0.7847816270785649,-0.01238755081010006,-0.029146979721384456,0.04385805595702012,0.02392385693434596,-0.08519408853963137,-0.005685618582874068,-0.08144442374041598,-0.03458966808873819,-0.019773835738290214,-0.056839600397729895,0.02630557815847294
anio_ing_carr_act,0.05751209323752547,0.0012867045226952613,0.004086416170704133,-0.008806752763852444,0.02473003198234982,0.00787843318469058,1.0,0.3406864187905921,0.017183634562725918,0.04456883189495237,-0.00821734219889413,0.007088614915226309,-0.06567404105851996,0.055816137351595345,-0.06240020766236228,0.015960139507113377,-0.0251366698877736,-0.036804142169773665,-0.062002474009529664
sem_ing_carr_act,-0.04284972846719032,0.0014095613296637253,-0.02094820125222385,-0.13853551494016875,0.13708038672120884,0.7847816270785649,0.3406864187905921,1.0,-0.01696939777659809,0.01053163637860011,0.00262675956620616,0.02852701793906206,-0.06326266579551813,0.018395263685192204,-0.057504933530716194,-0.014437705614448371,-0.04504015184494488,-0.06307128436160743,-0.01282478830976445
cod_inst,0.00046317196762466097,0.00045458774469939937,-0.02861138215773207,-0.0070675903927682245,-0.02537499018118544,-0.01238755081010006,0.017183634562725918,-0.01696939777659809,1.0,0.2923097284080179,-0.030062819333449405,0.020544680532905053,-0.4647846886663264,0.019759723501484333,-0.4532206840115142,-0.18237840900932353,-0.38822210565548304,-0.33679336753946665,0.07527476211498571
cod_sede,0.05165201032185165,0.0001977003281428648,-0.03469757276558473,0.03209084277235141,0.08788514922122705,-0.029146979721384456,0.04456883189495237,0.01053163637860011,0.2923097284080179,1.0,0.07445079143617761,0.057752770853518105,-0.29100436425698234,-0.053806227582814975,-0.30858813388116046,-0.02510152545215573,-0.30378462929549904,-0.35644458332204787,-0.0546157154694038
cod_carrera,0.15080454495322362,0.002710808796819935,-0.019768340676057695,-0.09060784449137847,-0.01730588511070573,0.04385805595702012,-0.00821734219889413,0.00262675956620616,-0.030062819333449405,0.07445079143617761,1.0,-0.00362284871505042,-0.27638312083227884,-0.11126415686038053,-0.2880678894588647,-0.07039668409688313,0.007862178239208444,-0.17117673580252157,0.169742334023233
version,0.15147136079964524,0.0011686630410579718,-0.0073301634740915965,-0.03634906914392563,0.016964135103951714,0.02392385693434596,0.007088614915226309,0.02852701793906206,0.020544680532905053,0.057752770853518105,-0.00362284871505042,1.0,-0.057766917219325795,-0.04165399145961279,-0.06687655561821981,0.02377422397445164,-0.05986123729516665,-0.06966588732100064,-0.13279319542881274
dur_estudio_carr,-0.016153765046670533,-0.0033505557644553136,-0.0070999615831143625,0.2500810603133889,0.03135650675570174,-0.08519408853963137,-0.06567404105851996,-0.06326266579551813,-0.4647846886663264,-0.29100436425698234,-0.27638312083227884,-0.057766917219325795,1.0,-0.0183614578781359,0.9874934466858442,0.25202559839033756,0.5455984132431317,0.47269758150361374,0.05670721144356076
dur_proceso_tit,-0.08109323468822859,-0.0009146211571272543,0.0545231160918545,-0.0637973905855344,-0.03608789407219627,-0.005685618582874068,0.055816137351595345,0.018395263685192204,0.019759723501484333,-0.053806227582814975,-0.11126415686038053,-0.04165399145961279,-0.0183614578781359,1.0,0.034646402057050565,-0.18518440150017493,-0.17015759467469144,-0.055446103145501,-0.11815448180312693
dur_total_carr,-0.03990592187238197,-0.0033578527240226445,-0.004767599605008449,0.23400735320661412,0.029350960199132203,-0.08144442374041598,-0.06240020766236228,-0.057504933530716194,-0.4532206840115142,-0.30858813388116046,-0.2880678894588647,-0.06687655561821981,0.9874934466858442,0.034646402057050565,1.0,0.2345096038044634,0.5294780189463237,0.46553785534461123,0.05352557538873439
valor_matricula,0.14690379939157458,-0.0008980285815478131,-0.06067427726836064,0.18751472655141221,0.0395362557961765,-0.03458966808873819,0.015960139507113377,-0.014437705614448371,-0.18237840900932353,-0.02510152545215573,-0.07039668409688313,0.02377422397445164,0.25202559839033756,-0.18518440150017493,0.2345096038044634,1.0,0.5372986020260896,0.48971990950168504,0.1332634413834156
